category;type;value;comment;to_ids
Payload delivery;sha256;7b5027bd231d8c62f70141fa4f50098d056009b46fa2fac16183d1321be04768;ChaChi;1
Payload delivery;sha256;9986b6881fc1df8f119a6ed693a7858c606aed291b0b2f2b3d9ed866337bdbde;ChaChi;1
Payload delivery;sha256;a30e605fa404e3fcbfc50cb94482618add30f8d4dbd9b38ed595764760eb2e80;ChaChi;1
Payload delivery;sha256;aa2faf0f41cc1710caf736f9c966bf82528a97631e94c7a5d23eadcbe0a2b586;ChaChi;1
Payload delivery;sha256;af97b35d9e30db252034129b7b3e4e6584d1268d00cde9654024ce460526f61e;ChaChi;1
Payload delivery;sha256;045510eb6c86fc2d966aded8722f4c0e73690b5078771944ec1a842e50af4410;ChaChi;1
Payload delivery;sha256;b0629dcb1b95b7d7d65e1dad7549057c11b06600c319db494548c88ec690551e;ChaChi;1
Payload delivery;sha256;ccfa2c14159a535ff1e5a42c5dcfb2a759a1f4b6a410028fd8b4640b4f7983c1;ChaChi;1
Payload delivery;sha256;d591f43fc34163c9adbcc98f51bb2771223cc78081e98839ca419e6efd711820;ChaChi;1
Payload delivery;sha256;ef31b968c71b0e21d9b0674e3200f5a6eb1ebf6700756d4515da7800c2ee6a0f;ChaChi;1
Payload delivery;sha256;f5cb94aa3e1a4a8b6d107d12081e0770e95f08a96f0fc4d5214e8226d71e7eb7;ChaChi;1
Payload delivery;sha256;f8a5065eb53b1e3ac81748176f43dce1f9e06ea8db1ecfa38c146e8ea89fcc0b;ChaChi;1
Payload delivery;sha256;44af9d898f417506b5a1f9387f3ce27b9dfa572aae799295ca95eb0c54403cff;Bat file used to delete backdoor binary;1
Network activity;domain;englishdialoge.xyz;ChaChi C2;1
Network activity;domain;starhouse.xyz;ChaChi C2;1
Network activity;domain;accounting-consult.xyz;ChaChi C2;1
Network activity;domain;blitzz.best;ChaChi C2;1
Network activity;domain;ccenter.tech;ChaChi C2;1
Network activity;domain;cvar99.xyz;ChaChi C2;1
Network activity;domain;dowax.xyz;ChaChi C2;1
Network activity;domain;englishdict.xyz;ChaChi C2;1
Network activity;domain;english-breakfast.xyz;ChaChi C2;1
Network activity;domain;firefox-search.xyz;ChaChi C2;1
Network activity;domain;ntservicepack.com;ChaChi C2;1
Network activity;domain;productoccup.tech;ChaChi C2;1
Network activity;domain;pump-online.xyz;ChaChi C2;1
Network activity;domain;reportservicefuture.website;ChaChi C2;1
Network activity;domain;sbvjhs.club;ChaChi C2;1
Network activity;domain;sbvjhs.xyz;ChaChi C2;1
Network activity;domain;serchtext.xyz;ChaChi C2;1
Network activity;domain;spm.best;ChaChi C2;1
Network activity;domain;statistics-update.xyz;ChaChi C2;1
Network activity;domain;transnet.wiki;ChaChi C2;1
Network activity;domain;visual-translator.xyz;ChaChi C2;1
Network activity;domain;wiki-text.xyz;ChaChi C2;1
Network activity;ip-dst;160.20.147.184;ChaChi C2;1
Network activity;ip-dst;172.96.189.167;ChaChi C2;1
Network activity;ip-dst;193.239.84.205;ChaChi C2;1
Network activity;ip-dst;89.41.26.173;ChaChi C2;1
Network activity;ip-dst;172.96.189.22;ChaChi C2;1
Network activity;ip-dst;172.96.189.246;ChaChi C2;1
Network activity;ip-dst;185.183.96.147;ChaChi C2;1
Network activity;ip-dst;185.185.27.3;ChaChi C2;1
Network activity;ip-dst;185.186.245.85;ChaChi C2;1
Network activity;ip-dst;193.239.85.55;ChaChi C2;1
Network activity;ip-dst;194.187.249.102;ChaChi C2;1
Network activity;ip-dst;194.187.249.138;ChaChi C2;1
Network activity;ip-dst;194.5.249.137;ChaChi C2;1
Network activity;ip-dst;194.5.249.138;ChaChi C2;1
Network activity;ip-dst;194.5.249.139;ChaChi C2;1
Network activity;ip-dst;194.5.249.18;ChaChi C2;1
Network activity;ip-dst;194.5.250.151;ChaChi C2;1
Network activity;ip-dst;194.5.250.162;ChaChi C2;1
Network activity;ip-dst;194.5.250.216;ChaChi C2;1
Network activity;ip-dst;198.252.100.37;ChaChi C2;1
Network activity;ip-dst;23.83.133.136;ChaChi C2;1
Network activity;ip-dst;37.120.140.184;ChaChi C2;1
Network activity;ip-dst;37.120.140.247;ChaChi C2;1
Network activity;ip-dst;37.120.145.208;ChaChi C2;1
Network activity;ip-dst;37.221.113.66;ChaChi C2;1
Network activity;ip-dst;45.147.228.49;ChaChi C2;1
Network activity;ip-dst;45.147.229.29;ChaChi C2;1
Network activity;ip-dst;45.147.230.162;ChaChi C2;1
Network activity;ip-dst;45.147.230.212;ChaChi C2;1
Network activity;ip-dst;86.106.20.144;ChaChi C2;1
Network activity;ip-dst;89.38.225.208;ChaChi C2;1
